Wall time,Step,Value
1618073953.277988,1981,30.071474075317383
1618073953.671018,1982,30.230823516845703
1618073954.063392,1983,30.07733154296875
1618073959.568119,1997,30.107580184936523
1618073971.85092,2001,29.987834930419922
1618073973.41886,2005,30.16594886779785
1618073975.007056,2009,30.20936393737793
1618073976.590079,2013,30.23971176147461
1618073978.173242,2017,30.297273635864258
1618073981.314216,2025,30.26785659790039
1618073982.106804,2027,30.22949981689453
1618073983.286463,2030,30.096115112304688
1618073984.470752,2033,30.1627140045166
1618073985.66645,2036,30.24043846130371
1618073987.666094,2041,30.26860809326172
1618073995.231452,2060,30.218591690063477
1618073999.996147,2072,30.13042640686035
1618074000.392478,2073,30.066247940063477
1618074001.591905,2076,30.336265563964844
1618074001.99062,2077,30.310970306396484
1618074002.786315,2079,30.302303314208984
1618074003.578176,2081,30.35703468322754
1618074005.158103,2085,30.26473045349121
1618074006.739649,2089,30.252002716064453
1618074008.725184,2094,30.217880249023438
1618074009.525506,2096,30.20201301574707
1618074023.198489,2103,30.28471565246582
1618074026.376601,2111,30.327869415283203
1618074027.977155,2115,30.385726928710938
1618074030.775745,2122,30.092554092407227
1618074031.17467,2123,30.16192626953125
1618074037.113473,2138,30.24384307861328
1618074038.31649,2141,30.21380615234375
1618074039.507822,2144,30.148792266845703
1618074039.896712,2145,30.080116271972656
1618074041.480756,2149,30.01332664489746
1618074042.26936,2151,30.27739143371582
1618074044.252049,2156,30.29989242553711
1618074047.427784,2164,30.140384674072266
1618074047.835817,2165,30.06159782409668
1618074049.420111,2169,30.21616554260254
1618074050.214038,2171,30.1655216217041
1618074051.030533,2173,30.21327018737793
1618074052.616232,2177,30.18658447265625
1618074056.590485,2187,30.301504135131836
1618074057.385598,2189,30.327489852905273
1618074058.178264,2191,30.34110450744629
1618074058.571427,2192,30.22492790222168
1618074060.155935,2196,30.3703670501709
1618074072.010557,2199,30.39299964904785
1618074075.262817,2207,30.340574264526367
1618074076.846251,2211,30.346895217895508
1618074082.400587,2225,30.377395629882812
1618074084.001587,2229,30.412094116210938
1618074084.804619,2231,30.326416015625
1618074086.787262,2236,30.28614044189453
1618074087.189842,2237,30.26056480407715
1618074087.986284,2239,30.4327449798584
1618074089.183829,2242,30.270639419555664
1618074089.978532,2244,30.52376937866211
1618074090.773475,2246,30.396541595458984
1618074091.17424,2247,30.3664608001709
1618074093.958563,2254,30.222278594970703
1618074095.16316,2257,30.232439041137695
1618074097.179437,2262,30.30988121032715
1618074104.745992,2281,30.361469268798828
1618074108.732995,2291,30.39786148071289
1618074111.113056,2297,30.533601760864258
1618074123.094126,2300,30.52072525024414
1618074124.293153,2303,30.568801879882812
1618074125.481342,2306,30.494300842285156
1618074125.883082,2307,30.423954010009766
1618074126.27431,2308,30.466943740844727
1618074130.668907,2319,30.273483276367188
1618074131.065416,2320,30.25912857055664
1618074131.859597,2322,30.378536224365234
1618074137.027261,2335,30.4455623626709
1618074140.997752,2345,30.338712692260742
1618074144.605897,2354,30.59456443786621
1618074151.425495,2371,30.610158920288086
1618074158.60816,2389,30.078868865966797
